id;date;description;amount
1;2023-08-14T19:13:35;Mississippi Account Associate;13968
2;2023-08-14T14:47:01;port innovate Persevering;9517
3;2023-08-14T02:00:53;Hawaii Sausages connecting;52157
4;2023-08-14T10:24:50;Optimization Rustic Synergistic;14208
5;2023-08-14T08:35:36;Card Iowa;77596
6;2023-08-14T14:12:17;mesh Rhode Automotive;8019
7;2023-08-14T17:49:11;infrastructures Cambridgeshire GB;67835
8;2023-08-14T05:41:47;Implemented synthesizing program;18655
9;2023-08-14T07:59:25;Generic RAM;43990
10;2023-08-14T18:01:02;Bedfordshire partnerships;13274
